,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years,A laptop,Energy/Mining,"1000-9,999 employees","2,000-2,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,
32,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Manufacturing/Fabrication,250-999 employees,,, R,RStudio ,Ggplot / ggplot2 ,,
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Non-profit/Service,0-49 employees,"7,500-9,999",,Python," Notepad++,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Computers/Technology,0-49 employees,$0-999,,"Python, SQL, C, C++, Java, Javascript, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,MATLAB ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",
52,40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 years,A laptop,Manufacturing/Fabrication,250-999 employees,"25,000-29,999",," R, SQL","RStudio ,Jupyter Notebook","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
53,40-44,Man,Other,Master’s degree,Business Analyst,1-3 years,A laptop,Accounting/Finance,50-249 employees,"60,000-69,999",,"Python, SQL, Other","PyCharm , Other", Matplotlib , None of these activities are an important part of my role at work, Colab 
66,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,< 1 years,A laptop,Computers/Technology,0-49 employees,$0-999,,Python,"PyCharm , Spyder", None,Analyze and understand data to influence product or business decisions,
67,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years,A personal computer / desktop,Online Service/Internet-based Services,"1000-9,999 employees","7,500-9,999",,Python," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub 
77,22-24,Man,China,Master’s degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,"1000-9,999 employees","20,000-24,999",,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
82,30-34,Man,India,Master’s degree,Business Analyst,1-3 years,A laptop,Computers/Technology,"10,000 or more employees","20,000-24,999",,Python,"Visual Studio Code (VSCode) , Sublime Text,Jupyter Notebook", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Kaggle 
91,30-34,Man,United States of America,Master’s degree,Business Analyst,1-3 years,A laptop,Accounting/Finance,"10,000 or more employees","60,000-69,999",,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, Colab 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Computers/Technology,250-999 employees,"1,000-1,999",,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",
106,30-34,Man,India,Master’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,"10,000 or more employees",,," SQL, C++", None, Other,,
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Manufacturing/Fabrication,250-999 employees,"100,000-124,999",,"Python, SQL","Jupyter Notebook, Other"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
109,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Manufacturing/Fabrication,"1000-9,999 employees","1,000-1,999",," R, SQL, C++","RStudio ,Jupyter Notebook",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,
142,30-34,Man,Colombia,I prefer not to answer,Data Analyst,< 1 years,A laptop,Accounting/Finance,50-249 employees,$0-999,, SQL,"Visual Studio ,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
150,70+,Woman,United States of America,Master’s degree,Data Analyst,20+ years,A personal computer / desktop,Government/Public Service,"1000-9,999 employees","100,000-124,999",Oracle Database ,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Kaggle 
167,45-49,Man,Austria,Master’s degree,Business Analyst,5-10 years,A laptop,Insurance/Risk Assessment,250-999 employees,"125,000-149,999",IBM Db2 ,"Python, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows", Plotly Dash   Streamlit   GitHub 
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Online Business/Internet-based Sales,"1000-9,999 employees","5,000-7,499",Snowflake ,"Python, SQL, C, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub   Kaggle   Colab 
189,30-34,Man,United States of America,Master’s degree,Business Analyst,I have never written code,,Accounting/Finance,"1000-9,999 employees","100,000-124,999",,,,,Analyze and understand data to influence product or business decisions,
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,I have never written code,,Manufacturing/Fabrication,"10,000 or more employees","70,000-79,999",,,,,Analyze and understand data to influence product or business decisions,
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,1-3 years,A personal computer / desktop,Shipping/Transportation,0-49 employees,"25,000-29,999",,Python,"PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
220,30-34,Man,India,Bachelor’s degree,Data Analyst,1-3 years,A personal computer / desktop,Computers/Technology,"10,000 or more employees","10,000-14,999",PostgreSQL ,"Python, SQL"," Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ", None of these activities are an important part of my role at work, Personal blog 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,3-5 years,A laptop,Other,0-49 employees,$0-999,,"Python, SQL, C++, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",
253,55-59,Woman,Brazil,Master’s degree,Business Analyst,1-3 years,A personal computer / desktop,Computers/Technology,"10,000 or more employees",$0-999,, SQL, None, None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,< 1 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Computers/Technology,"1000-9,999 employees","2,000-2,999",Google Cloud BigQuery , SQL,Jupyter Notebook, None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Energy/Mining,"10,000 or more employees","5,000-7,499",Microsoft Azure SQL Database ,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder"," Matplotlib ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
265,35-39,Woman,Other,Master’s degree,Data Analyst,10-20 years,A laptop,Computers/Technology,0-49 employees,,,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook", Matplotlib ,,
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,3-5 years,A laptop,Academics/Education,50-249 employees,$0-999,SQLite ,Python, Spyder,"Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", GitHub   Colab 
270,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Online Business/Internet-based Sales,250-999 employees,$0-999,,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Do research that advances the state of the art of machine learning", GitHub   Kaggle   Colab 
282,40-44,Man,Canada,Master’s degree,Data Analyst,< 1 years,A laptop,Academics/Education,0-49 employees,$0-999,,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle   Colab 
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,A laptop,Manufacturing/Fabrication,"1000-9,999 employees","10,000-14,999",,"Python, R, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
292,22-24,Man,India,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Hospitality/Entertainment/Sports,"1000-9,999 employees","2,000-2,999",Microsoft SQL Server ,"Python, R, SQL, C, C++","RStudio ,Visual Studio Code (VSCode) , Spyder, Notepad++,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning", Kaggle 
295,45-49,Man,Other,Master’s degree,Business Analyst,< 1 years,A laptop,Government/Public Service,"1000-9,999 employees","5,000-7,499",,Python,Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", Colab 
298,40-44,Man,Mexico,Master’s degree,Business Analyst,20+ years,A laptop,Other,0-49 employees,"30,000-39,999",,"Python, R","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",I do not share my work publicly
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,3-5 years,A personal computer / desktop,Academics/Education,0-49 employees,"7,500-9,999",, C++,Visual Studio , None, None of these activities are an important part of my role at work,
311,22-24,Man,China,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,50-249 employees,"15,000-19,999",MySQL ,Python,"PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn "," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas", GitHub   Kaggle   Colab 
340,25-29,Woman,Italy,Master’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,250-999 employees,"1,000-1,999",,"Python, R, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,PyCharm , Spyder, Sublime Text,Jupyter Notebook","Ggplot / ggplot2 ,Shiny ", Build prototypes to explore applying machine learning to new areas,
361,22-24,Man,Poland,Master’s degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,50-249 employees,"1,000-1,999",, None, None, None, Other,I do not share my work publicly
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,5-10 years,A laptop,Retail/Sales,"10,000 or more employees","70,000-79,999",,"Python, R, SQL",RStudio , None,Analyze and understand data to influence product or business decisions,
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Medical/Pharmaceutical,"10,000 or more employees","10,000-14,999",,"Python, SQL, Other",Jupyter Notebook," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",
396,50-54,Man,Spain,Bachelor’s degree,Data Analyst,1-3 years,A personal computer / desktop,Online Service/Internet-based Services,50-249 employees,"60,000-69,999",Google Cloud BigQuery , R,RStudio ,Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning", GitHub 
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,1-3 years,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Broadcasting/Communications,"10,000 or more employees","5,000-7,499",MySQL ,"Python, SQL, Java, Javascript",Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models", GitHub   Kaggle   Colab 
413,22-24,Man,India,Bachelor’s degree,Business Analyst,3-5 years,A laptop,Government/Public Service,"10,000 or more employees","10,000-14,999",,"Python, R, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm , Spyder,MATLAB "," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Manufacturing/Fabrication,0-49 employees,"25,000-29,999",Microsoft SQL Server ," R, SQL",RStudio , None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,0-49 employees,"1,000-1,999",,"Python, R, SQL, C++, MATLAB","RStudio ,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",I do not share my work publicly
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,5-10 years,A laptop,Academics/Education,50-249 employees,"5,000-7,499",PostgreSQL ,"Python, SQL, C++","Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", GitHub   Colab 
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Hospitality/Entertainment/Sports,0-49 employees,"1,000-1,999",MongoDB ,"Python, SQL, Javascript, Other","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn "," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models", GitHub   Kaggle 
454,25-29,Man,United States of America,Master’s degree,Data Analyst,< 1 years,A laptop,Computers/Technology,"1000-9,999 employees","125,000-149,999",,"Python, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Do research that advances the state of the art of machine learning", GitHub 
457,35-39,Man,United States of America,Master’s degree,Data Analyst,10-20 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Computers/Technology,50-249 employees,"125,000-149,999",,"Python, R, SQL, MATLAB","RStudio ,PyCharm ,MATLAB ","Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models", GitHub   Kaggle 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Online Business/Internet-based Sales,50-249 employees,"20,000-24,999",MySQL ,"Python, SQL","RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows", GitHub   Kaggle 
462,18-21,Man,China,Master’s degree,Business Analyst,5-10 years,A personal computer / desktop,Academics/Education,0-49 employees,$0-999,,Python, Other,Leaflet / Folium , Other,
467,25-29,Woman,India,Master’s degree,Data Analyst,< 1 years,A laptop,Retail/Sales,50-249 employees,"1,000-1,999",,"Python, R, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows", GitHub   Kaggle 
477,22-24,Woman,India,Bachelor’s degree,Data Analyst,I have never written code,,Other,"10,000 or more employees","3,000-3,999",,,,,"Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Government/Public Service,0-49 employees,$0-999,,"Python, SQL, MATLAB"," Spyder, Other"," Matplotlib ,Seaborn "," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", GitHub  Other
521,35-39,Man,China,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Manufacturing/Fabrication,"10,000 or more employees","25,000-29,999",Microsoft Azure SQL Database ,Python,"PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models", Personal blog 
533,22-24,Man,India,Master’s degree,Data Analyst,< 1 years,A laptop,Computers/Technology,"10,000 or more employees","4,000-4,999",,"Python, SQL","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ", Build prototypes to explore applying machine learning to new areas, Plotly Dash   GitHub   Personal blog   Kaggle   Colab 
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,5-10 years,A personal computer / desktop,Government/Public Service,"1000-9,999 employees","40,000-49,999",,"Python, R, C, C++","Visual Studio ,Jupyter Notebook"," Matplotlib ,Seaborn ", None of these activities are an important part of my role at work,I do not share my work publicly
541,22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,A laptop,Shipping/Transportation,250-999 employees,,,"Python, R, SQL", Notepad++, None, None of these activities are an important part of my role at work,
560,30-34,Man,Japan,Some college/university study without earning a bachelor’s degree,Business Analyst,< 1 years,A laptop,Retail/Sales,"1000-9,999 employees",$0-999,,Python,Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,0-49 employees,"15,000-19,999",,"Python, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn "," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Academics/Education,0-49 employees,$0-999,,"Python, R","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,PyCharm , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express "," Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",
578,22-24,Man,Ukraine,Bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,,,,,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,MATLAB ", None,,
587,35-39,Man,Kenya,Bachelor’s degree,Data Analyst,1-3 years,A laptop,,,,,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,
588,22-24,Man,India,Master’s degree,Business Analyst,1-3 years,A laptop,Computers/Technology,"1000-9,999 employees","7,500-9,999",,"Python, SQL, Java, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,MATLAB "," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Leaflet / Folium ", None of these activities are an important part of my role at work,
603,25-29,Man,Russia,Master’s degree,Business Analyst,< 1 years,A laptop,Computers/Technology,"10,000 or more employees",,,Python," Notepad++,Jupyter Notebook",Altair ,Analyze and understand data to influence product or business decisions,
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,3-5 years,A laptop,Medical/Pharmaceutical,"1000-9,999 employees",$0-999,,"Python, SQL, Java, Javascript","Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
608,25-29,Man,Other,Master’s degree,Business Analyst,< 1 years,A laptop,Other,0-49 employees,"40,000-49,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
612,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,10-20 years,A laptop,Academics/Education,50-249 employees,,,"Python, SQL, Javascript, Bash"," Notepad++, Vim / Emacs", None," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
613,50-54,Man,Poland,Master’s degree,Business Analyst,< 1 years,A laptop,Accounting/Finance,50-249 employees,,, SQL,"Visual Studio , Notepad++", None, None of these activities are an important part of my role at work,
619,35-39,Woman,Other,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Broadcasting/Communications,"1000-9,999 employees","60,000-69,999",," C, C++, MATLAB", None, None,Analyze and understand data to influence product or business decisions,
624,18-21,Woman,China,I prefer not to answer,Data Analyst,1-3 years,A laptop,Academics/Education,0-49 employees,$0-999,,"Python, Java",PyCharm , Matplotlib ,Analyze and understand data to influence product or business decisions,
629,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,1-3 years,A laptop,,,,,"Python, R","RStudio ,Visual Studio ,PyCharm ,Jupyter Notebook",,,
632,30-34,Man,Other,Doctoral degree,Data Analyst,< 1 years,A laptop,,,,,Python,"PyCharm , Spyder,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,Geoplotlib ",,
638,30-34,Man,Russia,Master’s degree,Data Analyst,3-5 years,A laptop,Academics/Education,250-999 employees,"15,000-19,999",,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm "," Matplotlib ,Ggplot / ggplot2 ", None of these activities are an important part of my role at work,
644,35-39,Man,China,Master’s degree,Business Analyst,1-3 years,A personal computer / desktop,Marketing/CRM,0-49 employees,$0-999,," SQL, Java","Visual Studio , Notepad++", None, None of these activities are an important part of my role at work,
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,1-3 years,A personal computer / desktop,Manufacturing/Fabrication,50-249 employees,$0-999,PostgreSQL ,"Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models", GitHub   Colab 
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,3-5 years,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Accounting/Finance,"10,000 or more employees","100,000-124,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Notepad++, Vim / Emacs,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions, Kaggle 
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,1-3 years,A laptop,Shipping/Transportation,250-999 employees,"40,000-49,999",,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Energy/Mining,"1000-9,999 employees","20,000-24,999",Microsoft SQL Server ,"Python, R, SQL, Other","RStudio ,Jupyter Notebook","Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions, GitHub 
681,18-21,Man,Viet Nam,Master’s degree,Business Analyst,< 1 years,A laptop,Online Business/Internet-based Sales,250-999 employees,"7,500-9,999",, SQL,Visual Studio Code (VSCode) , None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,5-10 years,A laptop,Energy/Mining,50-249 employees,"10,000-14,999",PostgreSQL ,"Python, SQL, C++, Javascript, Bash","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas", GitHub   Kaggle 
709,22-24,Woman,Other,Master’s degree,Data Analyst,3-5 years,A laptop,Academics/Education,0-49 employees,$0-999,,"Python, C++, Java, MATLAB","Visual Studio ,PyCharm ,MATLAB "," Matplotlib ,Seaborn ,Plotly / Plotly Express ,D3 js ", Experimentation and iteration to improve existing ML models,
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years,A laptop,Academics/Education,"1000-9,999 employees","2,000-2,999",,"Python, R, SQL, Other","RStudio ,Visual Studio , Notepad++",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,I do not share my work publicly
