,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
10433,25-29,Man,Mexico,Master’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,50-249 employees,"10,000-14,999",Microsoft Azure SQL Database ,"Python, R, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas", GitHub   Kaggle   Shiny 
10442,25-29,Man,Other,Master’s degree,Data Analyst,< 1 years,A personal computer / desktop,Government/Public Service,"1000-9,999 employees","4,000-4,999",,"Python, R","RStudio ,Jupyter Notebook",Seaborn ,Analyze and understand data to influence product or business decisions,
10452,22-24,Man,India,Master’s degree,Data Analyst,3-5 years,A personal computer / desktop,Manufacturing/Fabrication,"1000-9,999 employees","1,000-1,999",,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,
10453,45-49,Man,Australia,Doctoral degree,Data Analyst,10-20 years,A personal computer / desktop,Academics/Education,"1000-9,999 employees","40,000-49,999",MongoDB ," R, C, C++, Java, Javascript","RStudio , Other","Ggplot / ggplot2 ,Shiny ,D3 js ","Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning", GitHub 
10474,18-21,Man,Other,Bachelor’s degree,Data Analyst,< 1 years,A personal computer / desktop,Other,0-49 employees,$0-999,,"Python, SQL",Jupyter Notebook,Ggplot / ggplot2 , Other,
10480,40-44,Man,Poland,Master’s degree,Business Analyst,1-3 years,A personal computer / desktop,Accounting/Finance,50-249 employees,,,"Python, Other"," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",
10512,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Other,0-49 employees,,,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm "," Matplotlib ,Seaborn ",,
10517,25-29,Man,Brazil,Some college/university study without earning a bachelor’s degree,Business Analyst,3-5 years,A laptop,Academics/Education,"10,000 or more employees","1,000-1,999",,"Python, R, SQL"," Notepad++,Jupyter Notebook",Seaborn ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",
10519,35-39,Man,I do not wish to disclose my location,Master’s degree,Business Analyst,I have never written code,,Online Business/Internet-based Sales,"1000-9,999 employees",$0-999,,,,,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",
10530,35-39,Man,Argentina,Master’s degree,Data Analyst,I have never written code,,Retail/Sales,50-249 employees,"4,000-4,999",,,,, None of these activities are an important part of my role at work,
